img_file,path,img_H,img_W,dims_ok,object_coverage,podium_object_ratio,ratio_ok,bg_mean_L,bg_mean_a,bg_mean_b,ivory_ok,warmth_ok,frame_ok,floward_prompt
19666_544781.jpg,/mnt/c/Users/rahar/Documents/Sample_image/19666_544781.jpg,1000,1000,True,0.226973,0.834,True,73.48789978027344,4.7076311111450195,9.300210952758789,True,True,True,Adjust object coverage to ~75% (current 22%).
33552_544769.jpg,/mnt/c/Users/rahar/Documents/Sample_image/33552_544769.jpg,1000,1000,True,0.098556,0.251,False,73.00009155273438,2.5385775566101074,12.585960388183594,True,True,True,Adjust object coverage to ~75% (current 9%). Fix podium alignment (object base ~75% of podium).
33552_544771.jpg,/mnt/c/Users/rahar/Documents/Sample_image/33552_544771.jpg,1000,1000,True,0.194257,0.854,True,72.86378479003906,0.42789438366889954,10.774490356445312,True,True,True,Adjust object coverage to ~75% (current 19%).
40000_544775.jpg,/mnt/c/Users/rahar/Documents/Sample_image/40000_544775.jpg,1000,1000,True,0.218301,0.976,False,66.90885162353516,2.4734296798706055,13.448372840881348,True,True,False,Adjust object coverage to ~75% (current 21%). Fix podium alignment (object base ~75% of podium). Correct perspective to right angles.
47507_497369.jpg,/mnt/c/Users/rahar/Documents/Sample_image/47507_497369.jpg,1000,1000,True,0.216531,0.54,False,80.36390686035156,4.3075480461120605,11.235737800598145,True,True,False,Adjust object coverage to ~75% (current 21%). Fix podium alignment (object base ~75% of podium). Correct perspective to right angles.
47507_497370.jpg,/mnt/c/Users/rahar/Documents/Sample_image/47507_497370.jpg,1000,1000,True,0.100392,1.0,False,82.48997497558594,2.7239444255828857,9.239323616027832,True,True,False,Adjust object coverage to ~75% (current 10%). Fix podium alignment (object base ~75% of podium). Correct perspective to right angles.
47507_497371.jpg,/mnt/c/Users/rahar/Documents/Sample_image/47507_497371.jpg,1000,1000,True,0.1177,1.0,False,90.83354949951172,1.372286319732666,6.613311767578125,False,False,True,"Adjust object coverage to ~75% (current 11%). Fix podium alignment (object base ~75% of podium). Normalize background to ivory (L approx 90, a approx 1, b approx 10). Increase warmth (raise b channel)."
47507_497372.jpg,/mnt/c/Users/rahar/Documents/Sample_image/47507_497372.jpg,1000,1000,True,0.156527,0.214,False,84.45205688476562,1.8993630409240723,6.489438056945801,False,False,False,"Adjust object coverage to ~75% (current 15%). Fix podium alignment (object base ~75% of podium). Normalize background to ivory (L approx 90, a approx 1, b approx 10). Increase warmth (raise b channel). Correct perspective to right angles."
47510_499273.jpg,/mnt/c/Users/rahar/Documents/Sample_image/47510_499273.jpg,450,450,False,0.13378765432098766,1.0,False,79.96143341064453,3.336805582046509,10.852834701538086,True,True,True,Resize to 1000x1000. Adjust object coverage to ~75% (current 13%). Fix podium alignment (object base ~75% of podium).
47510_499274.jpg,/mnt/c/Users/rahar/Documents/Sample_image/47510_499274.jpg,1000,1000,True,0.089176,1.0,False,87.80326080322266,1.8215667009353638,8.596688270568848,True,True,True,Adjust object coverage to ~75% (current 8%). Fix podium alignment (object base ~75% of podium).
47510_499275.jpg,/mnt/c/Users/rahar/Documents/Sample_image/47510_499275.jpg,1000,1000,True,0.119201,1.0,False,84.8644790649414,2.7915966510772705,9.597747802734375,True,True,True,Adjust object coverage to ~75% (current 11%). Fix podium alignment (object base ~75% of podium).
61724_495051.jpg,/mnt/c/Users/rahar/Documents/Sample_image/61724_495051.jpg,1000,1000,True,0.0,,False,83.93775939941406,2.806990623474121,14.056321144104004,True,True,False,Adjust object coverage to ~75% (current 0%). Fix podium alignment (object base ~75% of podium). Correct perspective to right angles.
